Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ (7419491.0 total)	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ (7649856.0 total)	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ (8316299.0 total)	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ (8521956.0 total)
NM_027323	chr5	112337391	112343040	-	1102.0	1	Srrd|2810002G02Rik|Srr1|-|5|5 F|protein-coding	103.500	78.000	79.000	42.000
NM_001167160	chr7	20473960	20474925	-	964.0	2	Gm10665|ENSMUSG00000074308|Vmn1r150|-|7|7 A3|protein-coding	0.000	0.000	0.000	0.000
NM_001033239	chr16	36119946	36131189	-	2726.0	1	Csta1|Csta|-|16|16 B3|protein-coding	0.000	0.000	0.000	0.000
NM_029020	chr5	24394156	24409947	+	2922.0	1	Abcb8|4833412N02Rik|AA409895|-|5|5 A3|protein-coding	244.500	154.000	322.000	285.000
NR_033575	chr4	115582038	115583127	-	561.0	1	Cyp4b1-ps2|Gm12839|OTTMUSG00000008630|-|4|4 D1|pseudo	0.000	0.000	0.000	0.000
NM_026130	chr9	35211203	35217003	+	2918.0	1	Srpr|1300011P19Rik|D11Mgi27|Srpra|-|9|9 A4|protein-coding	393.000	532.500	516.500	437.500
NM_178747	chr14	65986787	66009210	-	2251.0	1	Gulo|5730581M22|AU018375|BC028822|GLO|LGO|sfx|unh|unhip|-|14|14 D1|protein-coding	7.000	9.000	2.000	22.000
NR_045765	chr4	16164110	16266225	+	1845.0	1	A530072M11Rik|-|-|4 A2|4|ncRNA	0.000	0.000	14.000	23.000
NM_146727	chr7	103517411	103518382	-	970.0	1	Olfr611|MOR15-1|MOR15-4|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_177250	chr3	94399219	94404501	+	2939.0	1	Lingo4|A530050P17Rik|LERN4|Lrrn6d|-|3|3 F2.1|protein-coding	1.000	0.000	0.000	0.000
NM_001145780	chr8	71366848	71369732	+	1056.0	1	Use1|2010315L10Rik|5730403H22Rik|AV002165|D12|Ed2|Q-snare|p31|-|8|8 B3.3|protein-coding	243.500	293.000	302.000	301.500
NR_033607	chr18	17234483	17235482	-	999.0	1	4921533I20Rik|-|-|18|18 A1|pseudo	0.000	0.000	0.000	0.000
NR_028589	chr2	128298663	128429351	-	2794.0	1	Gm14005|OTTMUSG00000015351|-|2|2 F1|ncRNA	5.000	0.500	0.000	0.000
NM_018746	chr14	30886476	30901986	+	3139.0	1	Itih4|ITI-HC4|Itih-4|PK-120|-|14 B|14 19.09 cM|protein-coding	0.000	0.000	0.000	0.000
NM_013675	chr12	76580488	76710547	-	10356.0	1	Sptb|AI842465|D330027P03Rik|Gm1301|Spnb-1|Spnb1|ja|jaundiced|mKIAA4219|-|12 C3|12 33.73 cM|protein-coding	0.000	6.000	166.000	73.500
NR_028416	chr7	4467245	4470884	-	3639.0	1	D630041G03Rik|-|-|7|7 A1|ncRNA	6.500	2.500	6.000	3.500
NM_007722	chr1	90203980	90215722	+	2032.0	1	Ackr3|AW541270|CXC-R7|CXCR-7|Cmkor1|Cxcr7|RDC-1|Rdc1|-|1 D|1 45.28 cM|protein-coding	0.000	0.000	0.000	4.000
NM_144784	chr9	53580522	53610350	-	3359.0	1	Acat1|6330585C21Rik|Acat|-|9 A5.3|9 29.12 cM|protein-coding	650.500	478.000	633.500	769.000
NR_105781	chr16	22605326	22605432	+	106.0	1	Mir6362|Gm27812|mmu-mir-6362|-|16|16 B1|ncRNA	0.000	0.000	0.000	0.000
NM_207022	chr6	23969161	23970060	-	898.0	1	Tas2r118|Gm465|T2R18|Tas2r16|Tas2r18|mGR18|mt2r40|-|6|6 A3.1|protein-coding	0.000	0.000	0.000	0.000
NM_175645	chr7	117380979	117667630	+	3056.0	1	Xylt1|8030490L12|-|7|7 F1|protein-coding	175.000	116.000	136.500	136.500
NM_010672	chr16	89031699	89032292	+	591.0	1	Krtap6-1|HGTpII.1|HGTpII.2|-|16|16 C3.3|protein-coding	0.000	0.000	0.000	0.000
NM_080285	chr6	18366472	18514869	-	5955.0	1	Cttnbp2|3010022N24Rik|4732477G22Rik|6430526E05|9130022E09Rik|AU040881|Cortbp2|ORF4|mKIAA1758|-|6|6 A2|protein-coding	30.000	3.500	6.000	21.000
NM_001347047	chr1	18115191	18145902	-	1358.0	1	Crisp4|9230112K08Rik|-|1|1 A3|protein-coding	0.000	0.000	0.000	0.000
NM_025827	chr8	86624043	86716638	+	2850.0	1	Lonp2|1300002A08Rik|AU015403|Lonp|-|8|8 C3|protein-coding	601.500	485.000	425.500	500.000
NM_001346639	chr6	97286867	97459286	-	4507.0	1	Frmd4b|6030440G05Rik|C87375|GOBLIN|GRSP1|R74720|-|6|6 D3|protein-coding	278.500	124.000	267.000	258.500
NM_023117	chr2	131186948	131198511	+	3088.0	1	Cdc25b|AI604853|-|2 F1|2 63.29 cM|protein-coding	43.500	47.000	113.000	135.500
NM_178078	chr8	95719451	95807462	-	8324.0	1	Cnot1|6030411K04Rik|AA815922|D830048B13|-|8|8 D1|protein-coding	3563.500	4120.500	5152.500	5878.000
NR_029569	chr6	30165918	30165992	-	74.0	1	Mir182|Mirn182|mir-182|mmu-mir-182|-|6|6 A3.3|ncRNA	0.000	0.000	0.000	0.000
NM_001033773	chr4	100478867	100550145	+	1505.0	1	Ube2u|-|-|4|4 C6|protein-coding	0.000	0.000	0.000	0.000
NM_001177977	chr7	119554340	119600694	+	6601.0	1	Acsm2|AI315615|BC031140|-|7|7 F2|protein-coding	0.000	0.000	0.000	0.000
NM_011415	chr16	14705859	14709382	+	2006.0	1	Snai2|Slug|Slugh|Snail2|-|16 A1|16 10.07 cM|protein-coding	0.000	0.000	0.000	4.000
NM_133836	chr2	11705293	11733985	+	1708.0	1	Il15ra|AA690181|IL-15RA|-|2 A1|2 8.97 cM|protein-coding	203.500	154.000	51.500	39.500
NM_026269	chr5	139252324	139270050	+	2095.0	1	Get4|1110007L15Rik|AW412535|Cee|-|5|5 G2|protein-coding	125.000	56.500	86.000	188.000
NM_001130008	chr16	11216241	11254325	-	6805.0	1	Gspt1|AI314175|AI326449|AV307676|C79774|G1st|Gst-1|-|16 A1|16 6.38 cM|protein-coding	675.500	641.500	567.500	619.500
NM_146174	chr6	42623043	42645041	-	4247.0	1	Tcaf2|Fam115c|-|6|6 B2.1|protein-coding	42.500	7.000	17.500	29.000
NM_146277	chr1	92588332	92589297	+	964.0	1	Olfr1412|MOR208-4|-|1|1 D|protein-coding	0.000	0.000	0.000	0.000
NR_131010	chr13	53648585	53650081	+	535.0	1	4930555G21Rik|-|-|13|13 B1|ncRNA	0.000	0.000	0.000	0.000
NM_001146002	chr17	65637505	65642204	-	1894.0	1	Txndc2|AU021712|Sptrx-1|Sptrx1|Trx4|-|17|17 E1.1|protein-coding	0.000	0.000	0.000	0.000
NM_134154	chr19	5877822	5885768	+	2469.0	1	Slc25a45|AW491445|-|19|19 A|protein-coding	306.000	268.000	494.500	450.500
NR_045996	chr15	101221247	101222155	+	580.0	1	AU021063|-|-|15 F1|15|ncRNA	5.000	4.000	9.000	7.000
NM_144808	chr14	70303467	70351424	-	4915.0	1	Slc39a14|FAD-123|ZIP-14|Zip14|fad123|-|14|14 D2|protein-coding	208.000	106.000	154.000	249.000
NM_146993	chr16	58872215	58873148	-	924.0	1	Olfr176|GA_x54KRFPKG5P-55043245-55042289|MOR184-8|-|16|16 C2|protein-coding	0.000	0.000	0.000	0.000
NM_001159559	chr10	126887248	126901371	-	1059.0	1	Xrcc6bp1|1110068E08Rik|2410012H02Rik|Atp23|-|10|10 D3|protein-coding	31.000	56.000	37.500	40.500
NM_001029890	chr3	88532395	88541394	+	5772.0	1	Mex3a|2700083E18Rik|Gm411|Rkhd4|-|3|3 F1|protein-coding	238.000	327.000	825.000	909.000
NM_008657	chr10	107492860	107494729	-	1243.0	1	Myf6|MRF4|bHLHc4|herculin|-|10 D1|10 55.96 cM|protein-coding	0.000	0.000	0.000	0.000
NM_007522	chr19	6941861	6951905	+	1452.0	1	Bad|AI325008|Bbc2|-|19|19 A|protein-coding	14.500	48.000	69.000	66.000
NM_023243	chr13	85189385	85213731	+	2065.0	1	Ccnh|6330408H09Rik|AI661354|AV102684|AW538719|-|13|13 C3|protein-coding	146.500	126.500	136.500	155.000
NM_178114	chr15	97244074	97247287	-	3211.0	1	Amigo2|AI415330|AMIGO-2|AW208913|Ali1|-|15|15 F1|protein-coding	179.500	220.500	73.000	76.500
NM_026925	chr19	58670365	58681788	+	1472.0	1	Pnlip|1810007A24Rik|PL|PTL|-|19 D2|19 54.46 cM|protein-coding	0.000	0.000	0.000	0.000
NM_147108	chr9	40000206	40001250	-	1042.0	1	Olfr979|MOR223-1|-|9|9 A5.1|protein-coding	0.000	0.000	0.000	0.000
NM_001033978	chr17	34325675	34341410	+	3373.0	1	H2-Eb2|A130038H09Rik|H-2Eb2|Ia-5|Ia5|Iebeta2|-|17 B1|17 17.98 cM|protein-coding	0.000	0.000	0.000	0.000
NM_024277	chr11	29545842	29548040	-	718.0	1	Rps27a|0610006J14Rik|Uba52|Ubb|Ubc|-|11|11 A3.3|protein-coding	791.000	640.500	983.500	918.500
NM_201518	chr12	95692226	95785213	+	7093.0	1	Flrt2|-|-|12|12 E|protein-coding	45.000	0.000	20.000	47.000
NM_023906	chr11	30954398	31102704	+	3213.0	1	Asb3|2400011J03Rik|Asb-3|-|11 A4|11 18.19 cM|protein-coding	160.500	85.000	86.500	83.500
NR_075096	chrX	36743632	36777307	+	1248.0	1	Slc25a43|Gm8|-|X|X A3.3|protein-coding	0.000	5.000	2.000	11.500
NM_025435	chr14	13949012	13961313	-	963.0	1	Thoc7|Nif3l1bp1|-|14|14 A1|protein-coding	273.500	336.000	397.500	359.500
NM_029746	chr8	124520767	124552007	+	2804.0	1	Cog2|1190002B08Rik|2700012E02Rik|C86089|Ldlc|-|8|8 E2|protein-coding	196.500	185.500	155.000	205.500
NR_045078	chr5	64593863	64610699	-	2868.0	1	Gm3716|Gm1683|-|5|5 C3.1|ncRNA	4.000	19.000	14.000	22.000
NM_001311072	chr6	27275121	28126426	-	3540.0	1	Grm8|A230002O04|Gprc1h|mGluR8|-|6|6 A3.1-A3.2|protein-coding	4.000	0.000	0.000	0.000
NM_001290674	chr2	66480081	66634962	-	9820.0	1	Scn9a|Nav1.7|PN1|mKIAA4197|-|2 C1.3|2 39.13 cM|protein-coding	0.000	0.000	0.000	0.000
NM_025839	chr16	4939111	4941028	+	1272.0	1	Nudt16l1|1110001K21Rik|5330437I08Rik|Sdos|-|16 A1|16 2.48 cM|protein-coding	193.000	47.500	133.500	85.000
NM_146960	chr7	140646452	140652919	+	1159.0	1	Olfr53|IE12|MOR253-5|-|7|7 F4|protein-coding	0.000	0.000	0.000	0.000
NM_001033449	chr1	59100584	59120096	-	1862.0	1	Tmem237|AI853305|Als2cr4|Gm972|-|1|1 C1.3|protein-coding	44.500	41.500	75.500	93.000
NM_026188	chr19	23558760	23652812	-	860.0	1	1700028P14Rik|AV209940|-|19|19 B|protein-coding	0.000	0.000	0.000	0.000
NM_011759	chr15	75616684	75625300	+	3738.0	1	Zfp41|CTfin92|Zfp-41|-|15|15 D3|protein-coding	79.500	62.000	249.000	253.000
NM_001285506	chr4	133847291	133874731	-	2962.0	1	Rps6ka1|Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk|-|4|4 D2.3|protein-coding	594.000	345.000	745.000	720.500
NM_001289583	chr7	90302355	90410719	+	4757.0	1	Sytl2|AI266830|Slp2|mKIAA1597|-|7|7 E1|protein-coding	0.000	0.000	153.500	97.500
NM_026039	chr4	132458729	132463921	-	1672.0	1	Med18|2810046C01Rik|-|4|4 D2.3|protein-coding	58.000	34.000	72.000	70.000
NM_144796	chr1	182764896	182896589	+	2970.0	1	Susd4|AI848994|E430021N18Rik|N28096|-|1|1 H5|protein-coding	21.000	22.000	7.000	33.000
NM_001001493	chr8	85080963	85082339	+	693.0	1	Wdr83os|-|-|8|8 C3|protein-coding	972.000	556.000	527.000	429.000
NM_001270431	chr4	41941634	41942633	+	371.0	4	Gm20878|-|-|4 A5|4|protein-coding	18.000	30.500	13.000	38.000
NR_040285	chrX	102252651	102257689	+	1755.0	1	Gm14858|OTTMUSG00000018301|-|X|X D|ncRNA	0.000	0.000	0.000	0.000
NM_023485	chr4	129287621	129308559	+	2031.0	1	Sync|1110057H03Rik|SNIP4|-|4 D2.2|4 63.26 cM|protein-coding	2.500	16.500	16.000	13.000
NM_001100465	chrX	37668997	37673277	-	773.0	1	Rhox2h|OTTMUSG00000017156|Rhox2.8|Rhox2g|-|X A3.3|X|protein-coding	0.000	0.000	0.000	0.000
NM_029881	chr10	25991183	26079052	-	4114.0	1	Tmem200a|C030003D03Rik|-|10|10 A4|protein-coding	0.000	0.000	0.000	0.000
NM_025501	chr3	92932979	92934096	+	557.0	1	Lce3b|2310007F04Rik|Sprrl6A|-|3|3 F1|protein-coding	0.000	0.000	0.000	0.000
NM_134077	chr14	105114519	105177327	-	4082.0	1	Rbm26|1700009P03Rik|AI447318|C230097K14Rik|C86225|MLZ-393|Pro1777|Se70-2|-|14|14 E2.3|protein-coding	891.000	822.500	1102.500	1308.000
NM_146911	chr11	50984703	50985626	+	922.0	1	Olfr1377|MOR129-1|-|11|11 B1.3|protein-coding	0.000	0.000	0.000	0.000
NM_008878	chr11	75431736	75439501	-	2180.0	1	Serpinf2|AI747498|Pli|Serpimf2|-|11|11 B5|protein-coding	0.000	0.000	0.000	1.000
NM_013924	chr13	23418361	23423866	-	4451.0	1	Abt1|-|-|13|13 A3.1|protein-coding	176.000	63.000	74.000	72.000
NR_037153	chr15	89426349	89429927	-	1912.0	1	Chkb|Chetk|Chkl|Ck|Ck/Ek|Ck/Ek-beta|Ckb|Ckekb|Ek|-|15|15 E3|protein-coding	301.500	137.500	162.500	214.000
NM_134225	chr13	22218861	22219820	-	958.0	1	Vmn1r193|V1ri9|-|13|13 A3.1|protein-coding	0.000	0.000	0.000	0.000
NM_145519	chr1	93512104	93621976	+	3883.0	1	Farp2|AI465173|BC009153|D030026M03Rik|Fir|mKIAA0793|-|1|1 D|protein-coding	59.500	43.000	23.500	37.500
NR_040327	chr2	168152603	168154513	-	1307.0	1	E130018N17Rik|-|-|2|2 H3|ncRNA	0.000	0.000	8.000	11.000
NR_046171	chr1	153721240	153737829	-	3334.0	1	C230024C17Rik|C230024C17|-|1|1 G3|ncRNA	1.000	0.000	0.000	0.000
NM_001024137	chr2	120265869	120289069	-	3264.0	1	Pla2g4d|2610311B01Rik|Pla2delta|cPLA2delta|-|2|2 E5|protein-coding	0.000	0.000	0.000	0.000
NM_001104615	chr3	64388621	64410057	-	2477.0	1	Vmn2r4|AW742767|EG637053|-|3|3 E1|protein-coding	0.000	0.000	0.000	0.000
NM_001081289	chr2	178414534	178422161	+	2258.0	1	Fam217b|9030418K01Rik|AI851938|-|2|2 H4|protein-coding	77.000	93.000	33.000	64.500
NM_001177980	chr4	102570060	102607262	+	4194.0	1	Pde4b|Dpde4|R74983|dunce|-|4 C6|4 46.99 cM|protein-coding	594.500	676.500	768.000	738.500
NM_029847	chr13	76060422	76098660	-	3647.0	1	Arsk|2810429K17Rik|4833414G15Rik|-|13|13 C1|protein-coding	123.000	275.000	107.500	155.000
NM_001163330	chr3	13946305	14182287	+	1904.0	1	Ralyl|0710005M24Rik|-|3|3 A1|protein-coding	0.000	0.000	0.000	0.000
NM_011952	chr7	126759626	126765816	+	1761.0	1	Mapk3|Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk|-|7 F3|7 69.25 cM|protein-coding	449.000	375.500	486.000	494.000
NM_026620	chr2	117249739	117271540	+	1851.0	1	Fam98b|2610510H03Rik|-|2|2 E5|protein-coding	229.500	200.000	170.000	165.000
NM_001085356	chrX	37571421	37576159	+	773.0	1	Rhox2f|EG434764|Rhox2.6|Rhox2e|-|X|X A3.3|protein-coding	0.000	0.000	0.000	0.000
NM_033374	chr11	34226821	34783905	-	6362.0	1	Dock2|AI662014|AW122239|CED-5|Hch|MBC|-|11|11 A4|protein-coding	2249.000	2347.000	3087.000	3205.500
NM_010460	chr11	96286646	96290163	+	1265.0	1	Hoxb7|AI325018|Hox-2.3|-|11 D|11 59.82 cM|protein-coding	18.000	1.000	9.000	17.000
NM_001256493	chr17	21879570	21909926	-	2214.0	1	Zfp995|2210404O09Rik|-|17|17 A3.3|protein-coding	0.000	0.000	0.000	2.000
NM_134171	chr6	57360467	57361378	-	910.0	1	Vmn1r17|V1rc16|-|6|6 B3|protein-coding	0.000	0.000	0.000	0.000
NM_028671	chrX	53273424	53301501	+	735.0	1	Fam122c|4930432H15Rik|4930527G05Rik|-|X|X A5|protein-coding	0.000	0.000	0.000	0.000
NM_152814	chr7	30077337	30090510	-	1686.0	1	Zfp566|2700043M03Rik|mszf4|-|7|7 B1|protein-coding	62.000	84.000	55.000	43.000
NM_027181	chrX	102119465	102127673	+	469.0	1	Pin4|2410002I22Rik|EPVH|Par14|-|X|X D|protein-coding	25.000	18.000	38.000	49.000
NM_144953	chr1	52925127	52952840	-	830.0	1	1700019D03Rik|2410136C24Rik|AA410151|smAKAP|-|1|1 C1.1|protein-coding	1.000	0.000	3.000	4.000
NM_001017433	chr10	61171964	61188841	+	1516.0	1	Tbata|1700021K02Rik|AI428928|Spatial|Titest|-|10|10 B4|protein-coding	0.000	0.000	0.000	0.000
NM_026503	chr1	23995939	24005640	-	662.0	1	Sdhaf4|1110058L19Rik|1700001E18Rik|C6orf57|-|1|1 A5|protein-coding	34.000	32.000	45.000	18.000
NM_011413	chr17	34809092	34823454	-	5318.0	1	C4a|Slp|SlpA|-|17 B1|17 18.37 cM|protein-coding	1.000	0.000	1.000	1.500
NM_030687	chr6	141805440	141856220	-	3853.0	1	Slco1a4|AI785519|Oatp1a4|Oatp2|Slc21a5|-|6|6 G2|protein-coding	0.000	0.000	0.000	0.000
NM_001113327	chr6	42315305	42324640	-	4064.0	1	Fam131b|6330503C03Rik|6530406I18Rik|AV277466|-|6 B2.1|6|protein-coding	0.000	0.000	1.000	4.000
NM_001347056	chr1	58658121	58692445	-	1475.0	1	Als2cr12|4933405P16Rik|4933425F06Rik|-|1|1 C1.3|protein-coding	0.000	0.500	1.000	0.000
NR_028382	chr6	83441755	83448322	+	1686.0	1	B230319C09Rik|-|-|6|6 C3|ncRNA	22.000	4.000	13.000	5.000
NM_146489	chr3	106821607	106822557	-	949.0	1	Olfr266|MOR122-2|-|3|3 F2.3|protein-coding	0.000	0.000	0.000	0.000
NM_001003685	chr6	55376295	55388530	+	1583.0	1	Ghrhr|Ghrfr|lit|little|-|6 B3|6 27.38 cM|protein-coding	0.500	0.000	0.000	0.000
NM_177352	chr9	96119429	96182953	+	2727.0	1	Gk5|AV095337|C330018K18Rik|G630067D24Rik|-|9|9 E3.3|protein-coding	2.000	14.000	43.000	10.500
NR_038153	chr6	91440987	91441755	+	484.0	1	1810044D09Rik|-|-|6|6 D1|ncRNA	1.000	6.000	0.000	2.000
NR_040303	chr1	164863121	164871438	+	1583.0	1	Gm20743|-|-|1|1 H2.2|ncRNA	0.000	0.000	0.000	0.000
NM_025959	chr14	45329824	45349071	+	1548.0	1	Psmc6|2300001E01Rik|AI451058|-|14|14 C1|protein-coding	161.000	162.000	228.000	201.000
NR_038151	chr18	33794892	33795989	+	430.0	1	Epb41l4aos|2410004N09Rik|Epb4.1l4aos|-|18|18 B1|ncRNA	13.000	18.000	32.000	36.000
NR_037682	chr11	78181302	78181346	-	44.0	1	Snord42a|MBII-292|U42A|-|11 46.74 cM|11 B5|snoRNA	0.000	0.500	0.500	1.000
NM_145150	chr7	80294451	80316259	+	3009.0	1	Prc1|D7Ertd348e|-|7 D2|7 45.62 cM|protein-coding	118.000	223.000	553.000	730.500
NM_001081171	chr2	180176373	180225859	-	11307.0	1	Lama5|AA408760|AA408762|AI853660|[a]5|laminin-511|mKIAA0533|-|2 H4|2 102.7 cM|protein-coding	102.000	223.000	163.000	162.000
NM_001011873	chr1	13668771	13701723	+	1920.0	1	Xkr9|Gm1620|XRG9|-|1|1 A3|protein-coding	0.000	0.000	0.000	0.000
NM_001290762	chr16	4711318	4719356	-	1498.0	1	Nmral1|1110025F24Rik|AI256624|-|16 A1|16 2.46 cM|protein-coding	133.000	83.500	300.000	339.000
NM_053205	chr10	23920406	23921404	+	997.0	1	Taar1|Tar1|Trar1|taR-1|-|10|10 A4|protein-coding	0.000	0.000	0.000	0.000
NM_027622	chr11	121116215	121118677	-	2041.0	1	Tex19.2|4921530G04Rik|Tex19b|-|11|11 E2|protein-coding	0.000	0.000	0.000	0.000
NM_001160412	chr8	43183122	43193884	+	1458.0	1	Triml2|EG622117|Tu4|-|8|8 A4|protein-coding	0.000	0.000	0.000	0.000
NM_011189	chr14	55578494	55581527	+	964.0	1	Psme1|AW413925|PA28a|-|14 C3|14 28.19 cM|protein-coding	1509.000	1426.500	1950.500	2086.000
NM_008928	chr11	60932057	60952803	+	2152.0	1	Map2k3|AW212142|MEK3|MKK3|Prkmk3|mMKK3b|-|11|11 B2|protein-coding	224.000	200.500	257.500	304.000
NM_001347323	chr5	31086106	31108244	-	1985.0	1	Slc30a3|Znt3|-|5 B1|5 16.97 cM|protein-coding	0.000	0.000	0.000	0.000
NR_037681	chr10	23785754	23785821	-	67.0	1	Snord100|MBII-429|Z51|-|10 11.1 cM|10 A4|snoRNA	18.000	22.500	21.500	22.000
NR_040461	chr18	66924762	66949961	-	1374.0	1	Gm19784|-|-|18 E1|18 39.77 cM|ncRNA	0.000	0.000	0.000	0.000
NM_172645	chr1	161816112	161876682	-	6303.0	1	Suco|4732491B11|AI848100|AU016931|Opt|-|1|1 H2.1|protein-coding	997.500	847.500	565.500	488.500
NR_105964	chr2	31612421	31612484	+	63.0	1	Mir6998|Gm28024|mmu-mir-6998|-|2|2 B|ncRNA	0.000	0.000	0.000	0.000
NR_033199	chr1	33669824	33670712	+	888.0	1	1700001G17Rik|-|-|1|1 B|ncRNA	0.000	1.000	1.000	8.000
NR_049203	chr12	44210313	44210373	+	60.0	1	Mir5627|Gm23684|mir-5627|mmu-mir-5627|-|12|12 B2|ncRNA	0.000	0.000	0.000	0.000
NM_054091	chr2	87973707	87974663	-	955.0	1	Olfr74|MOR174-4|mOR-EV|-|2|2 D|protein-coding	0.000	0.000	0.000	0.000
NM_011276	chrX	103957163	103981285	-	7433.0	1	Rlim|AL022832|AW743871|Ha1r|Rlim1|Rnf12|-|X 46.42 cM|X D|protein-coding	1657.500	1636.500	1426.000	1668.500
NM_001327821	chr6	53287303	53700363	+	7858.0	1	Creb5|9430076C15Rik|CRE-BPa|Crebpa|D430026C09Rik|-|6 B3|6 25.9 cM|protein-coding	25.000	25.000	35.000	58.000
NM_016985	chrX	71364760	71419196	+	4617.0	1	Mtmr1|AW049210|-|X|X A7.3|protein-coding	250.500	285.000	190.500	223.500
NM_175016	chr5	114123926	114128218	-	1109.0	1	Alkbh2|9530023G02|AU016977|Abh2|mABH2|-|5|5 F|protein-coding	4.000	5.000	30.500	10.000
NM_007376	chr6	128483567	128526720	-	4643.0	1	Pzp|A1m|A2m|AI893533|MAM|-|6 F3|6 63.02 cM|protein-coding	0.000	0.000	1.000	0.500
NM_001346750	chr10	7767947	7780917	-	1550.0	1	Ginm1|AA589616|-|10|10 A1|protein-coding	148.500	64.000	78.000	125.000
NM_009938	chr1	172082529	172122332	+	4594.0	1	Copa|AU040324|xenin|-|1 H3|1 79.54 cM|protein-coding	1663.500	1658.500	1525.000	2033.500
NM_025525	chr12	84417200	84418578	+	1376.0	1	Rnf113a2|2310020H19Rik|AI426758|Rnf113a|-|12|12 D1|protein-coding	221.000	185.000	255.000	228.000
NM_007576	chr1	130635921	130661618	-	1871.0	1	C4bp|AI195242|C4bpa|-|1 E4|1 56.89 cM|protein-coding	0.000	0.500	0.000	0.000
NM_001317042	chr5	110429875	110448503	-	3091.0	1	Fbrsl1|2410025L10Rik|AI467568|Gm1049|Gm29766|mKIAA1545|-|5|5 F|protein-coding	187.500	156.000	173.500	209.000
NM_175245	chr14	99034544	99046136	-	2251.0	1	Mzt1|2410129H14Rik|AI120158|Mozart1|-|14|14 E2.2|protein-coding	154.000	268.000	231.000	250.000
NR_030431	chr2	94261300	94261399	-	99.0	1	Mir670|Mirn670|mir-670|mmu-mir-670|-|2 E1|2|ncRNA	0.000	0.000	0.000	0.000
NM_031166	chr13	48261427	48264036	+	1655.0	1	Id4|Idb4|bHLHb27|-|13 A5|13 24.71 cM|protein-coding	0.000	0.000	0.000	0.000
NM_029658	chr11	76019195	76027782	-	3506.0	1	Rflnb|1500005K14Rik|Fam101b|RefilinB|cfm|-|11|11 B5|protein-coding	29.000	46.000	49.000	117.000
NM_181422	chr19	44147637	44192442	-	3304.0	1	Pkd2l1|B830002B15|BC046386|PCL|PKD2L|Pkdl|TRPP3|-|19 C3|19 36.91 cM|protein-coding	0.000	0.000	0.000	0.000
NM_010121	chr6	70844515	70905241	+	4490.0	1	Eif2ak3|Pek|Perk|-|6|6 C1|protein-coding	235.500	67.500	106.000	105.500
NM_177809	chr13	56438355	56472363	+	1488.0	1	Slc25a48|AU042651|E230025K15|-|13|13 B1|protein-coding	0.000	0.000	0.000	0.000
NR_035529	chr1	185242975	185243043	+	68.0	1	Mir664|mir-664|mmu-mir-664|-|1 H5|1 89.46 cM|ncRNA	0.000	0.000	0.000	0.000
NM_025445	chr15	83299740	83350247	-	2600.0	1	Arfgap3|0610009H19Rik|1810004P07Rik|1810035F16Rik|9130416J18Rik|Arfgap1|-|15|15 E1|protein-coding	70.000	74.000	35.000	38.000
NM_026618	chr11	101277970	101278948	-	714.0	1	Coa3|1810033A19Rik|Ccdc56|D11Ertd99e|HSPC009|-|11 D|11 64.56 cM|protein-coding	45.500	27.500	75.000	118.000
NM_001008499	chr10	23960494	23961537	+	1042.0	1	Taar4|Gm226|Ta2|taR-4|-|10|10 A4|protein-coding	0.000	0.000	0.000	0.000
NM_010459	chr11	96318267	96321638	+	2562.0	1	Hoxb4|Hox-2.6|-|11 D|11 59.83 cM|protein-coding	213.000	185.000	128.000	78.000
NM_021453	chr19	10668957	10678071	-	1405.0	1	Pga5|1110035E17Rik|Pepf|-|19 A|19|protein-coding	0.000	0.000	0.000	0.000
NM_176952	chr8	36489191	36513013	+	1819.0	1	6430573F11Rik|Kiaa1456|TRM9L|-|8|8 A4|protein-coding	0.000	0.000	0.000	3.000
NR_040455	chr1	139379452	139402852	+	1102.0	1	4933436E23Rik|-|-|1|1 E4|ncRNA	0.000	0.000	0.000	0.000
