Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -condenseGenes -count exons -rpkm -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ FPKM
NM_001081392	chr4	32657119	32775217	+	17855.0	1	Mdn1|4833432B22Rik|A130070M06|AA958993|D4Abb1e|Gm135|-|4 A5|4 14.3 cM|protein-coding	14.093	16.817	14.856	17.495
NM_027107	chr11	116198855	116215318	+	896.0	1	Ten1|2310004N24Rik|-|11|11 E2|protein-coding	3.610	7.805	17.916	17.811
NM_008768	chr4	63344556	63348163	+	771.0	1	Orm1|Agp-1|Agp-2|Orm-1|-|4 B3|4 33.96 cM|protein-coding	0.000	0.000	0.000	0.000
NM_010398	chr17	36029977	36032701	-	1308.0	1	H2-T23|37b|37c|H-2T23|H2-Qa1|Qa-1|Qa-1(b)|Qa1|Qed-1|T18c|T18c(37)|T23b|T23d|-|17 B1|17 18.86 cM|protein-coding	84.031	79.852	21.604	25.703
NM_145935	chr19	12633308	12651737	+	1302.0	1	Glyat|A330009E03Rik|ACGNAT|AI195249|AI315345|CAT|GAT|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NM_146377	chr17	37903548	37904519	+	970.0	1	Olfr127|MOR218-7|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NM_033523	chr11	19924442	20022597	+	2864.0	1	Spred2|C79158|-|11|11 A3.1|protein-coding	21.248	16.135	15.388	16.491
NM_001331048	chr8	106870836	106882902	+	5849.0	1	Has3|-|-|8 D3|8 53.28 cM|protein-coding	2.558	3.241	2.693	2.086
NR_004432	chr15	83149645	83149794	+	149.0	1	Rnu12|-|-|15 E1|15 39.4 cM|snRNA	0.000	0.000	0.000	0.000
NR_028542	chr14	52209786	52209884	-	98.0	1	Snord8|MBII-28|-|14 C2|14|snoRNA	0.000	0.000	0.000	0.000
NM_029376	chr5	26034270	26039505	-	1496.0	1	Speer4a|1700027N01Rik|SPEER-4A|-|5|5 B1|protein-coding	0.000	0.000	0.000	0.000
NM_001093754	chr3	106482431	106503030	+	4036.0	1	Dennd2d|2010308M01Rik|AI451421|-|3|3 F2.3|protein-coding	19.803	21.490	9.638	9.900
NM_009273	chr2	118475843	118479696	-	783.0	1	Srp14|14kDa|AW536328|-|2|2 E5|protein-coding	36.664	31.804	31.712	36.267
NM_001304439	chr11	82388900	82446361	+	4404.0	1	Tmem132e|Gm644|-|11|11 C|protein-coding	0.000	0.000	0.246	0.027
NM_146211	chr8	71611024	71624911	+	3167.0	1	Colgalt1|2810024B22Rik|Glt25d1|-|8|8 B3.3|protein-coding	16.491	15.004	21.566	22.546
NM_001039566	chr14	63034087	63037846	-	997.0	1	Defb30|2410125J01Rik|4930449O14Rik|BD-30|mBD-30|-|14|14 D1|protein-coding	0.000	0.000	0.000	0.000
NM_001291002	chr2	125866223	125984298	+	2511.0	1	Galk2|2810017M24Rik|AI327030|Gk2|-|2|2 F1|protein-coding	7.005	7.184	4.070	6.356
NM_001163328	chr3	13471655	14182287	+	2415.0	1	Ralyl|0710005M24Rik|-|3|3 A1|protein-coding	0.000	0.000	0.000	0.000
NM_001029988	chr11	55250610	55312257	-	14398.0	1	Fat2|EMI2|Fath2|Gm523|mKIAA0811|-|11|11 B1.3|protein-coding	0.290	0.200	0.000	0.147
NM_001113515	chr15	97975602	98004724	-	4874.0	1	Col2a1|Col2|Col2a|Col2a-1|Del1|Dmm|Lpk|Rgsc856|-|15 F1|15 53.97 cM|protein-coding	0.000	0.027	0.000	0.000
NM_010005	chr15	82402846	82407194	-	1636.0	1	Cyp2d10|AI303445|Cyp2d|P450-2D|-|15 E1|15 38.58 cM|protein-coding	0.000	0.000	0.000	0.000
NM_007857	chr15	98891155	98898540	-	4234.0	1	Dhh|C78960|-|15 F1|15 55.05 cM|protein-coding	0.191	0.123	0.000	0.111
NM_001195094	chr5	120628335	120634235	-	913.0	1	Cfap73|Ccdc42b|Gm5988|-|5 F|5|protein-coding	0.738	0.215	0.000	0.129
NM_009643	chr19	8989284	9019196	+	18093.0	1	Ahnak|DY6|-|19|19 A|protein-coding	13.900	19.446	4.287	4.280
NM_008937	chr1	190121777	190170680	-	4130.0	1	Prox1|A230003G05Rik|-|1 H6|1 95.85 cM|protein-coding	0.000	0.000	0.873	0.966
NR_029588	chrX	67988096	67988161	-	65.0	1	Mir201|Mirn201|mir-201|mmu-mir-201|-|X|X A7.1|ncRNA	0.000	0.000	0.000	0.000
NM_026630	chr2	163087031	163089601	-	876.0	1	Gtsf1l|2410116G06Rik|-|2|2 H2|protein-coding	0.000	0.000	0.275	0.000
NM_001101613	chr11	99879187	99880229	+	1040.0	1	Gm11567|OTTMUSG00000002206|-|11 D|11|protein-coding	0.000	0.000	0.000	0.000
NM_148947	chr17	35108300	35111953	+	446.0	1	Ly6g5c|G5c|NG33|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NR_040326	chr2	168978269	168978906	+	470.0	1	1700017J07Rik|-|-|2|2 H3|ncRNA	0.000	0.834	0.000	0.000
NM_053200	chr8	93166072	93197804	-	1950.0	1	Ces1d|Ces3|TGH|-|8|8 C5|protein-coding	0.000	0.000	0.000	0.000
NM_008117	chr11	106300261	106301896	-	896.0	1	Gh|Gh1|Ghb1|-|11 E1|11 68.89 cM|protein-coding	0.000	0.000	0.000	0.000
NM_011311	chr3	90603770	90606045	+	494.0	1	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1|3 39.27 cM|protein-coding	12.960	11.643	5.598	5.226
NM_026572	chr8	116981828	116993449	-	1330.0	1	Gcsh|1100001L02Rik|5730591C18Rik|-|8|8 E1|protein-coding	14.795	15.136	30.920	24.836
NR_036449	chr13	60205471	60216018	+	3600.0	1	Gm5084|A030007L22|EG328264|-|13|13 B2|ncRNA	0.000	0.000	0.000	0.000
NR_030150	chr14	112021430	112058438	+	40.0	1	Mir466|Mirn466|mmu-mir-466|-|2|2 A1|ncRNA	0.000	0.000	0.000	0.000
NR_126537	chr3	144879322	144896011	-	708.0	1	Clca4c-ps|Clca4c|EG622139|Gm18718|Gm6289|-|3|3 H2|pseudo	0.000	0.000	0.000	0.000
NM_133964	chr10	81384428	81388352	+	1437.0	1	Dohh|1110033C18Rik|AI585913|AL022869|Hlrc1|-|10|10 C1|protein-coding	3.095	1.774	2.720	3.062
NM_001302966	chr13	120034605	120052204	-	1735.0	1	Gm21188|-|-|13 D2.3|13|protein-coding	0.000	0.000	0.000	0.000
NM_001168511	chr7	30818357	30821139	-	1908.0	1	Ffar2|GPCR43|Gpr43|-|7|7 B1|protein-coding	0.989	0.240	0.252	1.046
NM_009196	chr3	104638664	104658462	+	4423.0	1	Slc16a1|AL022710|Mct1|-|3|3 F2.2|protein-coding	3.108	4.049	6.063	5.943
NM_009597	chr15	99670718	99701128	+	3750.0	1	Asic1|AI843610|ASIC|ASIC1a|Accn2|B530003N02Rik|BNaC2|-|15|15 F1|protein-coding	0.575	3.730	0.128	0.219
NM_011515	chrX_GL456233_random	10737	39191	-	2568.0	1	Vamp7|Sybl1|TI-VAMP|VAMP-7|-|X|X|protein-coding	0.000	0.000	0.000	0.000
NM_001290511	chr7	27195781	27204320	+	1584.0	1	BC024978|-|-|7|7 A3|protein-coding	5.233	7.221	3.796	7.482
NM_008401	chr7	128062640	128118491	+	4647.0	1	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F3|protein-coding	2.349	1.716	20.093	22.209
NR_004438	chrX	94367124	94398202	+	584.0	1	Apoo-ps|Apoo|EG621156|-|13|13 D2.1|pseudo	6.808	8.506	7.515	12.056
NR_045885	chr7	137234683	137242609	+	2872.0	1	Gm10578|ENSMUSG00000073800|-|7 F3|7|ncRNA	0.000	0.000	0.000	0.000
NM_010591	chr4	95049036	95052222	-	3184.0	1	Jun|AP-1|Junc|c-jun|-|4 C5|4 43.34 cM|protein-coding	79.962	87.449	29.910	33.593
NM_178185	chr13	21833024	21833475	+	449.5	2	Hist1h2ap|ENSMUSG00000060262|Gm11276|OTTMUSG00000000448|-|13|13 A3.1|protein-coding	83.207	79.538	205.582	160.679
NM_001081983	chrX	136974022	136976874	-	434.0	1	Tmsb15b1|Tm15b|-|X F1|X|protein-coding	0.621	0.301	1.662	1.352
NR_037258	chr2	10483678	10483760	+	82.0	3	Mir467a-6|Mirn467a-6|mmu-mir-467a-6|-|2 A1|2|ncRNA	0.000	0.000	0.000	0.000
NM_028407	chr14	36874936	36935568	-	5572.0	1	Ccser2|1700012P13Rik|2900054P12Rik|AI035535|AW108503|Fam190b|Gcap14|-|14|14 B|protein-coding	10.933	11.191	7.747	6.971
NM_001163574	chr7	65296165	65371244	-	6845.0	1	Tjp1|ZO1|-|7 C|7 35.02 cM|protein-coding	3.249	4.221	10.426	15.412
NM_146292	chrX	50425496	50426494	-	997.0	1	Olfr1324|MOR128-2|-|X|X A5|protein-coding	0.000	0.000	0.000	0.000
NM_029953	chr3	133159531	133234889	-	1904.0	1	Arhgef38|9130221D24Rik|D630013G24Rik|-|3|3 G3|protein-coding	0.000	0.000	0.000	0.000
NM_026693	chr8	111940703	111952915	+	974.0	1	Gabarapl2|0610012F20Rik|2900019O08Rik|AI173605|GATE-16|Gef2|-|8|8 E1|protein-coding	11.762	9.663	12.654	8.915
NM_198303	chr1	37998010	38055579	+	7771.0	1	Eif5b|A030003E17Rik|BC018347|IF2|-|1|1 B|protein-coding	21.463	20.464	27.025	32.632
NR_145131	chr5	74093060	74094337	+	589.0	1	Dancr|2700023E23Rik|-|5|5 C3.3|ncRNA	15.446	8.323	3.062	1.395
NM_172378	chr15	57243771	57477625	-	2354.0	1	Slc22a22|oat-pg|-|15|15 D1|protein-coding	0.000	0.000	0.000	0.000
NR_040674	chr4	55410443	55418842	-	753.0	1	Gm12505|OTTMUSG00000007226|-|4 B3|4|ncRNA	0.000	0.000	0.000	0.000
NM_153144	chr11	84832361	84870738	-	2934.0	1	Ggnbp2|AI451896|C75939|D330017P12Rik|DIF-3|Zfp403|-|11|11 C|protein-coding	33.167	33.683	26.066	30.596
NM_130868	chr17	38274773	38275711	+	937.0	1	Olfr138|MOR256-40P|Olfr89|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NM_001177511	chr10	61595484	61626385	+	1302.0	1	Npffr1|Gm236|Gpr147|NPFF1|NPFF1R|OT7T022|-|10|10 B4|protein-coding	0.000	0.000	0.000	0.000
NR_027826	chr1	42648200	42694825	-	542.0	1	Pantr1|2610017I09Rik|Pou3f3os|linc-Brn1a|-|1|1 B|ncRNA	0.000	0.000	0.000	0.000
NM_001013797	chr18	44071393	44083610	+	580.0	1	Spink6|EG433180|-|18|18 B3|protein-coding	0.000	0.000	0.000	0.000
NM_053272	chr4	106561038	106589113	+	4017.0	1	Dhcr24|2310076D10Rik|5830417J06Rik|mKIAA0018|-|4|4 C7|protein-coding	24.460	15.978	11.195	17.001
NM_008522	chr9	111019292	111042766	+	2723.0	1	Ltf|Csp82|Lf|MMS10R|Ms10r|-|9 F2|9 60.79 cM|protein-coding	0.049	0.000	1.170	5.645
NM_145987	chr4	141614233	141618633	-	2058.0	1	Tmem82|-|-|4|4 D3|protein-coding	0.131	0.985	0.000	0.570
NM_146564	chr9	19120957	19121911	+	953.0	1	Olfr836|MOR152-3|-|9|9 A2|protein-coding	0.000	0.000	0.000	0.000
NR_026596	chrX	102932047	102934223	-	2176.0	1	Gm5126|EG331480|-|X|X D|ncRNA	0.000	0.000	0.000	0.000
NM_001305799	chr10	80149682	80158368	+	3636.0	1	Midn|3000003C15Rik|-|10|10 C1|protein-coding	29.191	37.642	46.332	47.215
NM_009844	chr7	126408448	126414870	-	2419.0	1	Cd19|AW495831|-|7 F3|7 69.01 cM|protein-coding	0.557	0.108	0.149	0.194
NM_019933	chr1	119658093	119837071	-	4677.0	1	Ptpn4|PTPMEG|Ptn4|TEP|TEP/mPTPMEG|hPTP-MEG|-|1 E2.3|1 52.39 cM|protein-coding	8.314	8.832	7.842	7.840
NR_030565	chr2	10503565	10503645	+	80.0	1	Mir466b-3|Mirn466b-3|-|2 A1|2|ncRNA	0.000	0.000	0.000	0.000
NM_031998	chr6	30653457	30693749	-	3434.0	1	Cep41|1700017E11Rik|2810431D15Rik|Tsga14|-|6|6 A3.3|protein-coding	8.340	5.558	4.570	5.536
NR_038040	chr10	71168737	71182040	-	2292.0	1	C730027H18Rik|-|-|10|10 B5.3|ncRNA	0.000	0.000	0.000	0.000
NM_153413	chr9	106892825	107231909	-	9008.0	1	Dock3|MOCA|PBP|mKIAA0299|-|9|9 F1|protein-coding	1.579	1.669	0.521	0.736
NM_177279	chr8	123212858	123222045	+	513.0	1	Spata33|4732415M23Rik|AI847264|-|8|8 E1|protein-coding	0.000	0.000	0.000	0.000
NM_010122	chr5	31187558	31193139	-	1719.0	1	Eif2b4|Eif2b|-|5|5 B1|protein-coding	0.745	3.194	6.575	3.959
NM_011622	chr8	75033686	75070121	+	2269.0	1	Tom1|-|-|8|8 C1|protein-coding	4.811	4.234	2.862	2.534
NR_045413	chr5	64477008	64483966	+	614.0	1	C030018K13Rik|-|-|5|5 C3.1|ncRNA	0.000	0.000	0.000	0.000
NM_026345	chr6	134609207	134632488	-	2370.0	1	Mansc1|9130403P13Rik|-|6|6 G1|protein-coding	24.226	24.986	15.576	22.429
NM_025429	chr13	32842092	32851185	-	1909.0	1	Serpinb1a|1190005M04Rik|AI325983|EI|EIA|ELANH2|LEI|M/NEI|MNEI|PI2|-|13 A3.2|13 13.75 cM|protein-coding	2.612	1.849	0.756	0.246
NR_049197	chr12	112109250	112109309	-	59.0	1	Mir3073b|mir-3073b|mmu-mir-3073b|-|12|12 F1|ncRNA	0.000	0.000	0.000	0.000
NM_153790	chr16	17797282	17808293	+	3295.0	1	Scarf2|NSR1|SREC-II|SRECRP-1|Scatf1|Srec2|SrecII|-|16|16 A3|protein-coding	0.000	0.000	0.073	0.000
NR_045056	chr12	71009702	71015823	-	1144.0	1	3110056K07Rik|4921536K06Rik|-|12|12 C2|ncRNA	9.013	3.657	6.780	5.744
NR_040398	chr3	156548415	156561687	-	3121.0	1	4930570G19Rik|C630015G22|-|3|3 H4|ncRNA	0.000	0.000	0.000	0.075
NM_019951	chr7	80915379	80947550	-	1105.0	1	Sec11a|1810012E07Rik|18kDa|Sec11l1|Sid2895p|Spc18|sid2895|-|7|7 D3|protein-coding	22.748	33.361	37.869	23.947
NM_013503	chr5	38319509	38322523	+	3012.0	1	Drd5|D5R|Drd-5|Drd1b|Gpcr1|-|5 B3|5 20.4 cM|protein-coding	0.000	0.000	0.000	0.000
NM_025339	chr9	123021326	123023491	+	1040.0	1	Tmem42|0610027O18Rik|4933429E06Rik|AV003444|D9Ertd662e|-|9 F4|9 73.52 cM|protein-coding	10.238	2.200	3.237	3.667
NM_178253	chr12	69241832	69283961	+	1934.0	1	Klhdc1|-|-|12|12 C2|protein-coding	5.749	3.447	1.959	1.547
NM_026854	chr18	49696145	49755601	-	3137.0	1	Dtwd2|1190002H09Rik|8030470C17Rik|AI414673|BB115449|-|18|18 C|protein-coding	1.740	0.688	1.207	1.085
NM_030068	chr9	63421449	63602493	-	3567.0	1	Iqch|4921504K03Rik|-|9|9 C|protein-coding	0.264	0.147	0.034	0.000
NM_001291445	chr12	113014508	113074401	+	5365.0	1	Pacs2|6720425G15Rik|AW208651|AW489976|E230011J22|Pacs1l|mKIAA0602|-|12|12 F1|protein-coding	11.117	8.906	14.075	15.693
NR_040321	chr2	173124749	173133204	+	3473.0	1	Ctcflos|1300015D01Rik|A530094K13|-|2|2 H3|ncRNA	0.000	0.000	0.000	0.000
NR_105769	chr1	73855477	73855575	-	98.0	1	Mir6351|Gm27936|mmu-mir-6351|-|1|1 C3|ncRNA	0.000	0.000	0.000	0.000
NM_145916	chr15	76879276	76892394	+	2747.0	1	Zfp7|KRAB20|KRAB7|Krox-2|Zfp-7|Zfp65|Zfp80|Zfp86-rs1|mszf73-2|-|15 D3|15 36.28 cM|protein-coding	4.367	3.521	7.135	4.571
NM_008453	chr5	64803523	64830129	+	2306.0	1	Klf3|9930027G08Rik|AL024007|Bklf|Tef-2|-|5|5 C3.1|protein-coding	38.809	25.878	18.981	21.092
NM_134125	chr17	57249451	57263697	+	2274.0	1	Trip10|AI646975|Cip4|-|17|17 D|protein-coding	2.193	3.765	2.221	2.219
NM_133950	chr7	45872840	45883726	+	1518.0	1	Kdelr1|8030486F04Rik|AW215843|Erd2.1|-|7|7 B3|protein-coding	18.645	22.519	22.893	23.113
NM_001100461	chrX	73033981	73037103	-	2283.0	1	Pnma5|mKIAA1934|-|X|X A7.3|protein-coding	0.000	0.000	0.000	0.000
NM_001347493	chr13	23702034	23710854	-	3301.0	1	Hfe|MR2|-|13 A3.1|13 9.88 cM|protein-coding	0.674	1.346	0.656	0.480
NM_001164208	chr6	48833812	48841374	-	1059.0	1	Tmem176b|1810009M01Rik|Clast1|Lr8|-|6 B2.3|6 23.75 cM|protein-coding	195.616	146.645	90.270	89.421
NM_001285862	chr4	102760135	102972682	+	4829.0	1	Sgip1|3110007P09Rik|SGIP1alpha|gag|-|4|4 C6|protein-coding	0.000	0.027	0.050	0.158
NM_001271464	chr13	97137937	97176443	+	3054.0	1	Gfm2|6530419G12Rik|A930009M04Rik|EF-G2mt|EFG2|MST027|RRF2mt|-|13|13 D1|protein-coding	5.693	12.242	6.693	9.913
NR_045287	chr17	30622441	30626905	-	841.0	1	1700097N02Rik|-|-|17|17 A3.3|ncRNA	0.801	1.166	2.216	2.721
NM_031258	chrX	143297158	143394262	-	4179.0	1	Chrdl1|CHL|CHL1|Nrln1|VOPT|-|X|X F2|protein-coding	0.000	0.031	0.000	0.000
NM_001081022	chr7	125707876	125874797	+	6161.0	1	D430042O09Rik|Kiaa0556|-|7|7 F3|protein-coding	2.253	3.777	1.835	3.162
NM_133670	chr7	126672870	126676357	-	1361.0	1	Sult1a1|AI266890|PST|ST1A1|Stp|Stp1|-|7 F3|7 69.25 cM|protein-coding	45.257	49.129	0.972	3.147
NM_172904	chr7	81534354	81566981	-	2961.0	1	Fsd2|9830160G03Rik|Spryd1|-|7|7 D3|protein-coding	1.092	0.243	0.203	0.674
NM_133758	chr7	112023506	112111386	+	5510.0	1	Usp47|4930502N04Rik|A630020C16Rik|-|7|7 F1|protein-coding	17.832	20.866	16.247	20.104
NM_001082535	chr11	104186327	104191166	+	2216.0	1	Sppl2c|4933407P14Rik|IMP5|-|11|11 E1|protein-coding	0.000	0.000	0.000	0.000
NM_001163743	chr9	44252713	44268187	-	3673.0	1	Nlrx1|BC034204|NOD9|-|9|9 A5.2|protein-coding	1.101	0.498	1.064	0.383
NM_001293653	chr6	87999106	88045017	-	2034.0	1	Rab7|Rab7a|-|6 D1|6 39.13 cM|protein-coding	195.213	133.485	135.321	128.825
NM_001346086	chr7	30899181	30914922	-	2544.0	1	Mag|Gma|siglec-4a|-|7 B1|7 19.26 cM|protein-coding	0.000	0.000	0.000	0.000
NM_016933	chr19	4154646	4156710	+	842.0	1	Ptprcap|AI605264|CD-45-AP|LPAP|LSM-1|-|19 A|19 3.86 cM|protein-coding	48.181	53.096	49.983	42.924
NM_172579	chr12	82311349	82451784	+	7467.0	1	Sipa1l1|4931426N11Rik|AW213287|Spar|mKIAA0440|-|12|12 D1|protein-coding	12.391	13.428	10.186	11.928
NM_015807	chr11	115490426	115491814	-	797.0	1	Nt5c|Dnt|Dnt1|Umph-2|Umph2|-|11|11 E2|protein-coding	6.764	2.460	23.838	15.607
NM_029212	chr9	58028682	58102225	-	2534.0	1	Ccdc33|4930535E21Rik|Gm1117|Tzip1|-|9|9 B|protein-coding	0.000	0.000	0.000	0.000
NM_017393	chr17	56990264	56996371	+	1199.0	1	Clpp|AU019820|D17Wsu160e|-|17 D|17 29.61 cM|protein-coding	7.082	7.632	10.430	11.353
NM_008237	chr4	152285972	152291662	-	1822.0	1	Hes3|Hes-3|bHLHb43|-|4 E2|4 83.01 cM|protein-coding	0.000	0.000	0.000	0.000
NM_023684	chr2	181381235	181383628	+	1952.0	1	Lime1|2810038K19Rik|LIME|-|2|2 H4|protein-coding	15.674	8.940	10.287	7.334
NM_133241	chr15	88955884	88978553	-	2315.0	1	Mlc1|AW048630|BB074274|Kiaa0027-hp|LVM|MLC|VL|WKL1|mKIAA0027|-|15|15 E3|protein-coding	0.000	0.000	0.000	0.000
NM_001159384	chr11	101087290	101092207	+	1714.0	1	Mlx|Tcfl4|Tf4|bHLHd13|-|11|11 D|protein-coding	2.123	2.250	7.226	6.299
NM_001270512	chrY	3771673	3783271	+	1569.0	1	Gm3376|Rbmy1b|-|Y A1|Y|protein-coding	0.000	0.000	0.000	0.000
NR_131128	chr17	80896793	80927464	+	1255.0	1	C230072F16Rik|-|-|17|17 E3|ncRNA	0.000	0.000	0.000	0.000
NR_045140	chr15	67226769	67377094	+	1030.0	1	1700012I11Rik|-|-|15|15 D2|ncRNA	1.439	0.508	0.000	0.570
NM_146949	chr2	36421400	36422329	+	928.0	1	Olfr339|MOR136-3|-|2|2 B|protein-coding	0.000	0.000	0.000	0.000
NM_026395	chr4	155074112	155086297	-	1509.0	1	Rer1|1110060F11Rik|5830454N22Rik|AU043380|-|4|4 E2|protein-coding	19.293	18.582	18.846	25.234
NM_018813	chr12	21286297	21315056	+	2540.0	1	Cpsf3|-|-|12|12 A1.3|protein-coding	19.129	11.374	22.653	31.161
NM_010771	chr18	35562158	35592045	+	4455.0	1	Matr3|1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723|-|18 B2|18 19.14 cM|protein-coding	26.548	32.497	31.458	30.436
NM_029609	chr7	132610643	132706419	+	1598.0	1	Lhpp|2310007H09Rik|-|7|7 F3|protein-coding	3.964	5.399	6.923	4.296
NR_015507	chr1	86359574	86367964	+	1264.0	1	C130036L24Rik|ENSMUSG00000073627|-|1|1 C5|ncRNA	2.666	4.188	1.807	2.135
NM_010085	chr8	43568276	43576707	-	2487.0	1	Adam26a|Adam26|Dtgn4|-|8|8 A4|protein-coding	0.000	0.000	0.000	0.000
NM_010133	chr1	120602487	120607991	+	2550.0	1	En1|En-1|Mo-en.1|engrailed-1|-|1 E2.3|1 52.74 cM|protein-coding	0.000	0.000	0.000	0.000
NM_172777	chr5	105078394	105110292	-	3620.0	1	Gbp9|-|-|5|5 E5|protein-coding	16.215	20.980	1.329	2.431
NM_178364	chr13	65278854	65297795	+	2859.0	1	Zfp369|B930030B22Rik|D230020H11Rik|NRIF2|-|13|13 B3|protein-coding	18.126	22.861	18.211	21.179
NM_001164329	chr14	59244441	59260216	-	890.0	1	Gm6904|EG628693|-|14|14 C3|protein-coding	0.606	2.056	0.000	0.132
NM_001310521	chr1	36530193	36536556	-	2296.0	1	Ankrd23|1110058D09Rik|2310041C05Rik|AI853437|Darp|MARP3|-|1|1 B|protein-coding	2.554	1.736	2.278	3.220
NM_001011525	chr1	92490818	92491753	-	934.0	1	Olfr1415|MOR103-12|-|1|1 D|protein-coding	0.000	0.000	0.000	0.000
NM_145396	chr17	24700653	24707653	-	2491.0	1	Tbl3|9430070M15Rik|-|17|17 A3.3|protein-coding	5.248	5.982	12.358	10.269
NM_008221	chr7	103851754	103853207	-	614.0	1	Hbb-y|Ey|Hby|-|7 E3|7 54.85 cM|protein-coding	0.000	0.000	0.783	1.338
NM_001164686	chrX	150408578	150440905	-	1257.0	1	Tmem29|2700081K05Rik|6330540D07Rik|CXorf44-like|-|X|X F3|protein-coding	2.841	2.080	2.631	2.707
NM_001199311	chrX	152563334	152563969	+	634.0	1	Cldn34a|Gm7157|-|X F3|X|protein-coding	0.000	0.000	0.000	0.000
NM_001164820	chr2	151999866	152009258	+	2131.0	1	Slc52a3|2310046K01Rik|RFT2|-|2|2 G3|protein-coding	3.131	0.920	4.966	3.772
NM_080853	chr7	51621830	51671126	+	4306.0	1	Slc17a6|2900073D12Rik|DNPI|VGLUT2|-|7|7 B4|protein-coding	0.000	0.000	0.000	0.000
NM_174847	chr16	97855209	97922633	-	6540.0	1	C2cd2|5730563M15|5830404H04Rik|AI314146|AI449533|BF168443|ORF25|mKIAA4045|-|16|16 C4|protein-coding	4.616	4.417	3.034	2.925
NM_001081490	chr9	78081500	78109065	-	1837.0	1	Fbxo9|9030401P18Rik|AA986398|-|9|9 E1|protein-coding	28.651	33.303	6.873	7.953
NR_045788	chr15	39797045	39812377	+	2591.0	1	Gm16291|OTTMUSG00000033244|-|15 B3.1|15 15.55 cM|ncRNA	0.000	0.000	0.000	0.000
NM_172678	chr3	36066000	36092857	+	3893.0	1	Acad9|2600017P15Rik|4732402K02|C630012L17Rik|NPD002|-|3|3 B|protein-coding	8.015	6.581	7.336	5.486
NM_029378	chrX	102903221	102906469	-	1056.0	1	Dmrtc1a|1700030H14Rik|4921520P21Rik|DMRTC1|Dmrt8.1|-|X|X D|protein-coding	0.000	0.000	0.000	0.000
NM_001081290	chr1	162671785	162740556	-	10407.0	1	Prrc2c|1810043M20Rik|9630039I18Rik|A630006J20|Bat2d|Bat2d1|Bat2l2|E130112L15Rik|Prrc3|mKIAA1096|-|1 H2.1|1|protein-coding	149.810	153.714	136.069	173.293
NM_026494	chr4	119418533	119422420	-	1435.0	1	Ppcs|6330579B17Rik|AI413471|AI790434|-|4|4 D2.1|protein-coding	1.972	2.232	2.891	2.944
NM_153112	chr7	24482023	24504533	+	2144.0	1	Cadm4|Igdf4c|Igsf4c|Tsll2|-|7|7 A3|protein-coding	0.126	0.000	1.122	0.055
NM_198621	chr5	25516067	25518027	+	1958.0	1	Cct8l1|Gm443|-|5|5 B1|protein-coding	0.000	0.000	0.184	1.139
NM_146796	chr19	13814644	13815588	-	943.0	1	Olfr1499|MOR211-2|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NR_102373	chr5	144358525	144361005	+	577.0	1	Dmrt1i|Dmr|-|5 G2|5|ncRNA	0.000	0.000	0.000	0.000
NM_031177	chr6	115853528	115926699	+	4036.0	1	Ift122|C86139|Wdr10|sopb|-|6|6 E3|protein-coding	6.612	5.150	1.728	5.030
NM_001033176	chr7	45282873	45288993	+	1724.0	1	Slc6a21|1700039E15Rik|Gm19188|-|7|7 B3|protein-coding	0.000	0.000	0.000	0.000
NM_028935	chr9	18454054	18473559	-	3829.0	1	Zfp558|1700007A21Rik|4932704I17Rik|Zfp558-ps|-|9|9 A2|protein-coding	2.517	0.649	0.738	1.747
